id,username,tweet
133e16,govlarryhogan,"COVID-19 has returned to our state in a big way, and we must fight back with every tool at our disposal. We are constantly monitoring all of our key metrics and will take additional actions if the situation continues to deteriorate."
134e16,nygovcuomo,"Delivering an update on the state's COVID-19 response.  I am joined now by @RepJeffries, @RepGraceMeng, @RepKarenBass, @JoaquinCastro &amp; @RepDebHaaland.  Watch Live:  https://t.co/TeJ00eVsci"
125e16,govmlg,"Stay home unless it is absolutely essential. Act as if you have the virus and take every possible precaution to avoid spreading it in your community – stay home.

#StayHomeSaveLives #AllTogetherNM"
124e16,gavinnewsom,"Families should not lose their homes because of COVID-19.  Very pleased that Wells Fargo, Citi, JPMorgan, and US Bank have agreed to a 90 day grace period for mortgage payments for those impacted by #COVID19.

A big sigh of relief for millions of CA families."
13e17,dougburgum,"The highly skilled team at the @NDDOH State Lab is dedicated to producing high-quality, consistently accurate COVID-19 test results. In this video, Dr. Stahl explains the steps involved in the process. #MaskUpND"
13e17,govevers,"Wisconsin workers continue to face financial burdens and stress due to the COVID-19 pandemic, and we are working hard to ensure folks across the state are able to access the support they need.   https://t.co/Fb4wNDfqQQ"
128e16,governortomwolf,"🔹 Social distancing, masking, and other safety measures must be in place to protect workers and patrons.

🔹 Occupancy is limited to 25% for indoor dining, including staff."
124e16,govraimondo,Students: Please take this seriously. You need to keep up with your assignments and put as much effort into your education as you do when you’re at school. This is not an extended vacation. Let’s buckle down and continue school from your home every day.
13e17,govmikedewine,Some reopening requirements include:   ✅Limited capacity ✅Limited entry sites ✅Daily screenings ✅Baseline &amp; repeat testing ✅Face coverings ✅Cohorting ✅Thorough cleaning  We worked w/ the Ohio Association of Senior Centers and others to develop this plan.
129e16,governortomwolf,"I want to talk about the transphobic incident involving the Bloomsburg Fair.

This is the latest in a relentless series of vile slurs directed at Secretary of Health Dr. Rachel Levine — a highly skilled and accomplished member of my administration."
128e16,govjanetmills,"Maine reported only eight new COVID-19 cases today and we are only one of two states that is reporting a decline in cases. That is, of course, welcome and encouraging news. But I want to be clear: it cannot be cause for celebration, as much as we want it to be. 1/"
126e16,asahutchinson,I’m holding a news conference at 1:30pm today to provide an update on our COVID-19 response. You can watch here:  https://youtu.be/bZFFY7ue0y0 
126e16,govparsonmo,"Reopening Missouri will NOT just be the flip of a switch. The virus is still out there. Continue to maintain social distancing to protect yourself & others.

For our recovery to be successful, it is going to take EVERYONE taking proactive steps to mitigate the risk of COVID-19. pic.twitter.com/tF53FC9mFg"
125e16,govinslee,"We're looking into options to reduce the number of people inside state prison facilities. Public safety and the health of our incarcerated individuals is at the forefront of these decisions. 

We’ll have more to say on this soon. 2/5"
128e16,nc_governor,"At 3 PM, Gov. Cooper will be giving an update on COVID-19 and K-12 public schools. Watch live here:  https://t.co/rwEz4lEZNG"
129e16,govmurphy,Holding a COVID-19 briefing. WATCH: https://www.pscp.tv/w/cem59zFvTlFscGRXQVd6UXd8MWRqeFhvd2dPQWVKWiiQnVEGm1xKBerxqoiRzEPUFIr1Ew2t8VJkhYAdPUqp …
134e16,nygovcuomo,"Today's update on the numbers:  Total COVID hospitalizations are at 5,164.  Of the 197,406 tests reported yesterday, 10,178 were positive (5.15% of total).  Sadly, there were 92 fatalities.  https://t.co/tqqv3hcpmk"
13e17,oregongovbrown,"I'm leading a coalition of Governors from CA, WI, NC, NV, NJ, MN &amp; MI to keep voting safe, accessible &amp; secure in light of the unprecedented attacks on voting rights. During this pandemic, we must ensure no one has to choose between their health &amp; safety and their right to vote."
125e16,govnedlamont,"HAPPENING NOW: News briefing to discuss the latest COVID-19 updates.

WATCH LIVE: https://youtu.be/z01EcoaR1kk "
122e16,govphilscott,"From county to county, there’s a huge gap between median home values, median household income, average wage & so much more... across the state, we’re feeling the negative impacts in everything from our homes, schools & colleges to our hospitals & nursing homes. #VTSOTS"
133e16,govevers,"Thanks, @SenatorBaldwin! Kathy and I #MaskUp for Wisconsinites all across our state. The sooner we get this virus under control, the sooner we can all get back to our Wisconsin way of life safely.    @LGMandelaBarnes, why do you mask up?  https://t.co/LYIhuNXbP7"
129e16,governortomwolf,Today I'm at Susquehanna Township Police headquarters to talk about the enforcement of #COVID19 mitigation orders.  Masks are required to be worn in all public spaces. Law enforcement officials are able to cite Pennsylvanians who aren't wearing a mask in public.  https://t.co/oxNNz8lAWV
124e16,govlaurakelly,I know that abiding by the statewide stay-home order I issued this morning is difficult. But remember: We’re in this together. Stay home. Stay safe. pic.twitter.com/CBiImmMxYg
133e16,govmikedewine,"If we continue to see cases on the rise, hospitalizations will be on the rise for another two weeks after cases peak. We need the citizens of Ohio to take masking, distancing, washing hands, and avoiding large gatherings seriously."
128e16,henrymcmaster,"You may never know whose lives you save by wearing a mask and social distancing, but each of them has a family and friends who can be spared the pain of loss if you do. #WearItSC #FightTheSpread #stayhealthysc"
126e16,govparsonmo,"Again, it is critical to understand that the more tests we do, the more positive cases there will be.

By increasing testing, we can continue to slow the spread by identifying positive patients and isolating them as quickly as possible."
127e16,govherbert,We are in close contact with our department of public safety and receiving regular updates. Our hearts break for the family of George Floyd and for his unnecessary death.
129e16,govmlg,"Friendly Monday reminders!

Wear a mask! ✅ 

Avoid groups and close contact with others! ✅ 

Limit outings from home! ✅ 

Every one of us can help slow the spread, save lives and protect New Mexico's economy by making the right individual decisions. #ProtectNM #MaskUp pic.twitter.com/GL1ViiCK1e"
127e16,govherbert,"It is important to note Utah’s color-coded health risk guidance does not apply to the Navajo Nation. Tribal lands are sovereign, and they make their own policy and health directives. We strongly encourage Utahns living on tribal lands to follow all tribal health directives."
126e16,govparsonmo,"To protect our families, our businesses, and our citizens, we have to ensure access to testing and follow responsible social distancing requirements."
128e16,govnedlamont,"HAPPENING NOW: News briefing to discuss today's #SCOTUS decision rolling back access to birth control under the Affordable Care Act

📺WATCH LIVE ⬇️ https://youtu.be/z01EcoaR1kk "
125e16,govmikedewine,"Our WIC professionals are showing up every day to provide mothers and children in need with food, baby formula, counseling, and referrals to programs, such as home visiting."
126e16,govraimondo,"In times of crisis, many of us turn to our faith communities. While this pandemic requires us to limit gatherings to 5 people or fewer, RI's faith leaders are connecting worshipers through virtual and drive-through services in accordance with our public health guidance."
133e16,govnedlamont,"A total of 145 towns and cities in Connecticut are now in the Red Alert Level – the highest alert level on the state's weekly COVID-19 map.  To review more specific, town-level data, check out this interactive map:  https://t.co/bilUulkpti  https://t.co/meKEnV6bQc"
132e16,govlarryhogan,"While Maryland’s 7-day average positivity rate remains stable, 5 jurisdictions are now reporting positivity rates over 5%. We continue to monitor increases in cases per 100K and total hospitalizations. Wash your hands, watch your distance, and #MasksOnMaryland."
13e17,govandybeshear,"This week we lost too many Kentuckians, and families around the commonwealth are grieving their loss. Light your homes green, lift those in need in prayer, and commit to doing the right thing. #TogetherKy  https://t.co/5pxaEwLd8V"
125e16,dougducey,"Thank you for staying home and acting responsibly.

Stay home. Stay healthy. Stay connected. pic.twitter.com/9BSU3QD4re"
129e16,louisianagov,"I have serious concerns about the solvency of the Trust Fund and the need for federal assistance to make sure Louisiana can continue to pay out unemployment benefits. Before the COVID-19 pandemic, our Unemployment Trust Fund was the 17th strongest in the nation. #lagov #lalege"
127e16,govmikedewine,".@OhioBWC's ""Protecting Ohio's Workforce- We've Got You Covered” program has also sent over 1.5 million face coverings to support and enhance any workforce safety and health efforts businesses already have in place."
127e16,govmurphy,"NEW: Indoor portions of retail shopping malls may REOPEN on 6/29:
😷Masks required to be worn
👥All stores limited to 50% capacity
🍽️Restaurants may provide take-out or outdoor dining
🚫Food court seating and common seating areas remain closed
❌Theaters and arcades remain closed pic.twitter.com/fZ0gMQHynB"
124e16,govhawaii,#Live News Conference: COVID-19 re: 15 days to slow spread of #coronavirus ➡️ http://www.facebook.com/GovernorDavidIge … pic.twitter.com/srA9ghNMTd
126e16,govnedlamont,"UPDATE: Daily COVID-19 data in Connecticut

- 29,287 people tested positive (+523)
- 2,436 people have died (+97)
- 1,551 patients are currently hospitalized (-41)
- 102,493 tests have been reported to the state (+2,236)

For more data sets, visit  http://ct.gov/coronavirus  pic.twitter.com/Jk7hzCPm1r"
122e16,nc_governor,"Come for the $56 million in federal funding to advance our early childhood action plan goals.

Stay for the cute kids. pic.twitter.com/K8W8U5nFnX"
126e16,gavinnewsom,"NEW: CA has 54,937 confirmed cases of #COVID19:
+2.5% from yesterday.

3,284 of those are in hospitals:
-1.0%.

1,179 of those are in the ICU:
+0.9%.

CA is flattening the curve--but we must continue to take this seriously and allow our reopening to be guided by data and science."
126e16,govparsonmo,"I will be giving another COVID-19 update on Facebook LIVE today at 3pm.

Joining me today:
• Vice President Christine Smith, @pfizer BioTherapeutics Pharmaceutical Sciences
• Director Dr. Randall Williams, @HealthyLivingMo pic.twitter.com/aMuuBUrAfO"
13e17,asahutchinson,LIVE: Governor Hutchinson Provides COVID-19 Update from Mena (9.11.20):  https://t.co/O1aF4rRfK8
125e16,governorlittle,"This federal funding must be prudently managed on behalf of all taxpayers. The federal funds will not be used to create new government programs in Idaho, and we will uphold our Constitutional mandate to provide a long-term, structurally balanced budget. https://gov.idaho.gov/pressrelease/governor-little-outlines-process-to-ensure-transparency-accountability-in-use-of-federal-funds-to-fight-coronavirus/ …"
132e16,govmlg,"Listen to the experts: if New Mexicans do not stay home and limit their interactions with others to slow the spread of COVID-19, our hospitals will be overrun.  We all have to do everything we can to slow the spread of this terrible virus.  https://t.co/t8Am5My0sC"
126e16,holcombforin,"Gov. Holcomb & @StateHealthIN are working hard to fight the spread of the #coronavirus in Indiana and keep vulnerable Hoosiers safe. Stay up to date on the latest news at the Indiana State Department of Health's website:

 https://coronavirus.in.gov "
131e16,govmikedewine,"Additionally, @OHdeptofhealth is awarding $2.6 million in CARES Act funding to agricultural camp operators to improve the health and safety of their worksites and camps to reduce COVID-19 transmission."
124e16,nygovcuomo,"Thank you @nyuniversity. It's all hands on deck.

New York is calling on qualified health care professionals to join our health care reserve. 

Enlist here:  https://health.ny.gov/assistance  https://twitter.com/ddiamond/status/1242654452072546304 …"
125e16,dougducey,Arizonans’ efforts to physical distance and make responsible choices are working. It’s critical that we keep those efforts up as we plan for the future and a time when we can begin to return some normalcy to people’s lives. 4/4
124e16,govricketts,"TODAY: Dr. James Lawler of @unmc and I will be hosting a Facebook Live event at 3:30pm to talk about the science behind the social distancing restrictions that we've put in place in Nebraska due to #COVID19 

Join us here:  https://www.facebook.com/GovernorPeteRicketts/ …"
129e16,govchrissununu,"THREAD: This afternoon, I am issuing an Emergency Order to help minimize health and safety concerns around large scheduled events and gatherings, requiring scheduled gatherings of 100+ people to wear masks, effective immediately.  https://t.co/FWKTOFzxgT"
122e16,nygovcuomo,"One year ago today we enacted #GENDA, adding gender identity and gender expression as protected classes under state law, and banned conversion therapy.

NYS will always fight for justice and full equality for the #LGBTQ community! pic.twitter.com/I7Q0LD2gM4"
126e16,governortomwolf,"Masks add another layer of protection to help stop the spread of #COVID19.

It's important that as many people as possible wear masks when leaving home.

And if you're going to a supermarket, pharmacy or other life-sustaining business, you must wear a mask to enter the store. pic.twitter.com/VJ2oXO2TWY"
128e16,govmikedewine,"This virus is real. It is killing our family members, our friends, our co-workers.  We must take the long view in our response and remember that Ohioans have always been a strong, resilient people, who know how to overcome adversity and beat the odds."
128e16,nygovcuomo,"Today's update on the numbers:

63,598 tests were performed yesterday. 831 tests came back positive (1.30% of total).

Total hospitalizations are at 831.

Sadly, there were 9 COVID fatalities yesterday. pic.twitter.com/mvgTEFa7bj"
124e16,wvgovernor,"Update on WV’s coordinated response to the #COVID2019 disease: as of today, there are no confirmed cases of COVID-19 in WV. We have tested 5 residents for COVID-19; two were negative and three are pending."
131e16,govparsonmo,"We are taking a balanced approach to fighting COVID-19 and continue to go back to our four essential pillars – testing, PPE, hospital capacity, and data. I want to reassure everyone that all four of these pillars are stable. #ShowMeStrong  Missouri data:  https://t.co/SouE1rDpG0  https://t.co/VhTz6jhpgf"
129e16,briankempga,"During the press conference, we also discussed:  ✅ Georgia’s hospitalizations are down by 10% over the past 10 days with plenty of capacity at Piedmont &amp; @GWCC_ATL.  ✅ The curve has flattened on the number of new cases in Georgia and the positivity rate continues to fall."
132e16,govparsonmo,"Since March, my administration has taken numerous actions to respond and adapt to COVID-19, including shipping 194,000 cases of PPE to health care providers."
131e16,govnedlamont,"Today's COVID-19 update in Connecticut (from Fri-Sun):  ➡️50,333 tests administered; 823 came back positive (1.6% positivity rate) ➡️129 patients are hospitalized (increase of 19) ➡️There were 4 COVID-related deaths over the weekend  For more data, visit  https://t.co/FpgO8VKwjq  https://t.co/6EXJVQw1dl"
129e16,govherbert,"For those with questions about the cost of receiving a COVID-19 test, most people should not have to pay to get one.  https://t.co/vCi2LdEIrh"
125e16,nygovcuomo,"This virus is not an issue of states’ rights.

This is a national disaster.

The states need federal assistance. No state can get all the ventilators they need.

We need a national deployment of resources that follows need."
126e16,govmlg,"Great news from @NMHSD today – New Mexicans receiving food assistance will soon be able to use SNAP benefits to purchase groceries online, minimizing person-to-person contact  and slowing the spread of #COVID19. 

More info here:  https://bit.ly/2znPkq8  https://twitter.com/NMHSD/status/1258503188073742336 …"
126e16,louisianagov,"Today, Gov. Edwards will provide an update on Louisiana's COVID-19 response. Starting this week, the governor will hold media briefings on Monday, Wednesday & Friday until we enter Phase One.#lagov #lalege
⏰: 2:45 p.m. 
🎥:  http://Facebook.com/LouisianaGov 
💻:  http://gov.la.gov  pic.twitter.com/NB0M0PoI4C"
128e16,govmlg,"Today's #COVID19 update – cases continue to rise:

- 257 new COVID-19 cases, totaling 12,776 cases statewide

- Eight additional deaths, bringing the total to 511 deaths statewide

- 130 individuals currently hospitalized with COVID-19

More info here:  https://bit.ly/31I9Z4E  pic.twitter.com/22BecIg4mq"
124e16,gregabbott_tx,"Baylor Scott & White Opens Drive-Thru #Coronavirus Testing Sites. 

You will see announcements like this across Texas. 

#COVID19 #txlege https://spectrumlocalnews.com/tx/san-antonio/news/2020/03/17/baylor-scott---white-opens-drive-thru-coronavirus-testing-sites …"
134e16,wvgovernor,"LIVE: Gov. Justice holds press briefing on COVID-19 response - December 7, 2020 #WV #WVGov  https://t.co/Da3JHWwYhA"
132e16,govparsonmo,"COVID-19 isn’t going away soon, so we must keep pushing forward on ALL fronts while protecting ourselves &amp; others. ↔️Social distance. 😷Wear a mask. 🧼Wash your hands.  I cannot emphasize enough how important this STILL is especially now with flu season approaching."
125e16,nygovcuomo,"Geography won't help you.

Rural areas are not immune.

Just as rural New York has been impacted, so will rural America.

This virus affects us all."
128e16,govhawaii,"Three COVID-19 deaths and 86 new cases since Friday renew calls for safe practices in Hawai‘i.

Details: https://governor.hawaii.gov/newsroom/latest-news/hawaii-covid-19-joint-information-center-news-release-3-deaths-86-new-cases-renew-calls-for-safe-practices-july-13-2020/ …"
124e16,wvgovernor,"There are currently no confirmed cases of COVID-19 in West Virginia. As of today, West Virginia has tested eight residents for COVID-19, with seven results coming back negative and one test still pending."
126e16,henrymcmaster,"Today is Public Servant Recognition Day, part of Public Servant Recognition Week in South Carolina. This year especially please take a moment to thank the public servants who have worked tirelessly through this pandemic to maintain vital services on which we rely. #TeamSC pic.twitter.com/i9wAodm9ZA"
